sitio;inventario;arboles;variable;anova_p;tukey_variable;tukey_p;bartlett_p
Lubia;1;Pinus pinaster;Nac;0,624758037846750658;D-A;7,42981659326578e-01;0,3154375886071981
Lubia;1;Pinus pinaster;Nac;0,624758037846750658;E-A;6,26899868857044e-01;0,3154375886071981
Lubia;1;Pinus pinaster;Nac;0,624758037846750658;E-D;9,77140722034718e-01;0,3154375886071981
Lubia;1;Pinus pinaster;Dgac;0,299727265931570452;D-A;4,75398353681485e-01;0,1984774895935677
Lubia;1;Pinus pinaster;Dgac;0,299727265931570452;E-A;2,95715053491865e-01;0,1984774895935677
Lubia;1;Pinus pinaster;Dgac;0,299727265931570452;E-D;9,10409400007642e-01;0,1984774895935677
Lubia;1;Pinus pinaster;Hgac;0,557646724840536789;D-A;5,69897277650514e-01;0,3254292478194551
Lubia;1;Pinus pinaster;Hgac;0,557646724840536789;E-A;6,70274522280271e-01;0,3254292478194551
Lubia;1;Pinus pinaster;Hgac;0,557646724840536789;E-D;9,82618586563797e-01;0,3254292478194551
Lubia;1;Pinus pinaster;ABac;0,978460475535811502;D-A;9,79319855015891e-01;0,9448510626448724
Lubia;1;Pinus pinaster;ABac;0,978460475535811502;E-A;9,85543428141202e-01;0,9448510626448724
Lubia;1;Pinus pinaster;ABac;0,978460475535811502;E-D;9,99424552774440e-01;0,9448510626448724
Lubia;1;Pinus pinaster;Vac;0,874031068458976490;D-A;8,63168732972247e-01;0,3282152893768214
Lubia;1;Pinus pinaster;Vac;0,874031068458976490;E-A;9,72307113906712e-01;0,3282152893768214
Lubia;1;Pinus pinaster;Vac;0,874031068458976490;E-D;9,52924237622964e-01;0,3282152893768214
Lubia;1;Pinus pinaster;WacT;0,870740716373275658;D-A;8,64178093535323e-01;0,3945433935555628
Lubia;1;Pinus pinaster;WacT;0,870740716373275658;E-A;9,33790770408504e-01;0,3945433935555628
Lubia;1;Pinus pinaster;WacT;0,870740716373275658;E-D;9,84871993707146e-01;0,3945433935555628
Lubia;1;Quercus pirenaica;Nac;0,806450570016961743;D-A;9,64758651856140e-01;0,9185692596264383
Lubia;1;Quercus pirenaica;Nac;0,806450570016961743;E-A;7,92749262473472e-01;0,9185692596264383
Lubia;1;Quercus pirenaica;Nac;0,806450570016961743;E-D;9,14279657866737e-01;0,9185692596264383
Lubia;1;Quercus pirenaica;Dgac;0,032541848952964768;D-A;3,24167882105107e-02;0,2394980761149001
Lubia;1;Quercus pirenaica;Dgac;0,032541848952964768;E-A;7,03351780559942e-01;0,2394980761149001
Lubia;1;Quercus pirenaica;Dgac;0,032541848952964768;E-D;8,95981907847760e-02;0,2394980761149001
Lubia;1;Quercus pirenaica;Hgac;0,277069584171042271;D-A;2,65330531948897e-01;0,4136857562682251
Lubia;1;Quercus pirenaica;Hgac;0,277069584171042271;E-A;8,62389979818648e-01;0,4136857562682251
Lubia;1;Quercus pirenaica;Hgac;0,277069584171042271;E-D;4,85406246257125e-01;0,4136857562682251
Lubia;1;Quercus pirenaica;ABac;0,118471023871157544;D-A;1,05575265966852e-01;0,3787607514887236
Lubia;1;Quercus pirenaica;ABac;0,118471023871157544;E-A;6,22755200944890e-01;0,3787607514887236
Lubia;1;Quercus pirenaica;ABac;0,118471023871157544;E-D;3,52207921284217e-01;0,3787607514887236
Lubia;1;Quercus pirenaica;Vac;0,088340939643582098;D-A;7,97309220792798e-02;0,1854115408729846
Lubia;1;Quercus pirenaica;Vac;0,088340939643582098;E-A;6,31878124569309e-01;0,1854115408729846
Lubia;1;Quercus pirenaica;Vac;0,088340939643582098;E-D;2,65091759256107e-01;0,1854115408729846
Lubia;1;Quercus pirenaica;WacT;0,129496926911485705;D-A;1,15153852705897e-01;0,4446895350419088
Lubia;1;Quercus pirenaica;WacT;0,129496926911485705;E-A;6,21104558254808e-01;0,4446895350419088
Lubia;1;Quercus pirenaica;WacT;0,129496926911485705;E-D;3,82281288229336e-01;0,4446895350419088
Lubia;1;P. pinaster + Q. pirenaica;Nac;0,957244975507594575;D-A;9,98463991463514e-01;0,8850331795432214
Lubia;1;P. pinaster + Q. pirenaica;Nac;0,957244975507594575;E-A;9,72258358838770e-01;0,8850331795432214
Lubia;1;P. pinaster + Q. pirenaica;Nac;0,957244975507594575;E-D;9,58218555210926e-01;0,8850331795432214
Lubia;1;P. pinaster + Q. pirenaica;ABac;0,749233937844258735;D-A;7,28788948684388e-01;0,9309524906356456
Lubia;1;P. pinaster + Q. pirenaica;ABac;0,749233937844258735;E-A;9,20877201448469e-01;0,9309524906356456
Lubia;1;P. pinaster + Q. pirenaica;ABac;0,749233937844258735;E-D;9,20994222421200e-01;0,9309524906356456
Lubia;1;P. pinaster + Q. pirenaica;Vac;0,325503631140939442;D-A;3,03751705869616e-01;0,2761741613203652
Lubia;1;P. pinaster + Q. pirenaica;Vac;0,325503631140939442;E-A;8,19381701188072e-01;0,2761741613203652
Lubia;1;P. pinaster + Q. pirenaica;Vac;0,325503631140939442;E-D;5,91545264734993e-01;0,2761741613203652
Lubia;1;P. pinaster + Q. pirenaica;WacT;0,429405262590004166;D-A;3,99749421053572e-01;0,2906976801953513
Lubia;1;P. pinaster + Q. pirenaica;WacT;0,429405262590004166;E-A;7,70913811165669e-01;0,2906976801953513
Lubia;1;P. pinaster + Q. pirenaica;WacT;0,429405262590004166;E-D;7,75092006049016e-01;0,2906976801953513
Lubia;2;Pinus pinaster;Ndc;0,003636343382637322;D-A;1,37906372215737e-02;0,4341780196794262
Lubia;2;Pinus pinaster;Ndc;0,003636343382637322;E-A;3,63175522989212e-03;0,4341780196794262
Lubia;2;Pinus pinaster;Ndc;0,003636343382637322;E-D;4,30735208586463e-01;0,4341780196794262
Lubia;2;Pinus pinaster;Dgdc;0,002838654296918986;D-A;8,50176252938273e-03;0,1927743109492980
Lubia;2;Pinus pinaster;Dgdc;0,002838654296918986;E-A;3,15441959804663e-03;0,1927743109492980
Lubia;2;Pinus pinaster;Dgdc;0,002838654296918986;E-D;5,87716209831018e-01;0,1927743109492980
Lubia;2;Pinus pinaster;Hgdc;0,018133263915290257;D-A;3,17167136376515e-02;0,0645853110647957
Lubia;2;Pinus pinaster;Hgdc;0,018133263915290257;E-A;2,48158887996429e-02;0,0645853110647957
Lubia;2;Pinus pinaster;Hgdc;0,018133263915290257;E-D;9,76289151748737e-01;0,0645853110647957
Lubia;2;Pinus pinaster;ABdc;0,033964815485615994;D-A;2,01916519382826e-01;0,9354195150068120
Lubia;2;Pinus pinaster;ABdc;0,033964815485615994;E-A;2,86030989914330e-02;0,9354195150068120
Lubia;2;Pinus pinaster;ABdc;0,033964815485615994;E-D;3,28181541829960e-01;0,9354195150068120
Lubia;2;Pinus pinaster;Vdc;0,066778597782614982;D-A;2,70760077420282e-01;0,9994365343262006
Lubia;2;Pinus pinaster;Vdc;0,066778597782614982;E-A;5,78625252502513e-02;0,9994365343262006
Lubia;2;Pinus pinaster;Vdc;0,066778597782614982;E-D;4,83893400057700e-01;0,9994365343262006
Lubia;2;Pinus pinaster;WdcT;0,030508189441694877;D-A;1,97846605053355e-01;0,9009026152548507
Lubia;2;Pinus pinaster;WdcT;0,030508189441694877;E-A;2,55526431228205e-02;0,9009026152548507
Lubia;2;Pinus pinaster;WdcT;0,030508189441694877;E-D;2,98191611917886e-01;0,9009026152548507
Lubia;2;Quercus pirenaica;Ndc;0,921348295733033451;D-A;9,96806838651872e-01;0,8791451214529201
Lubia;2;Quercus pirenaica;Ndc;0,921348295733033451;E-A;9,22637957286178e-01;0,8791451214529201
Lubia;2;Quercus pirenaica;Ndc;0,921348295733033451;E-D;9,49284265064922e-01;0,8791451214529201
Lubia;2;Quercus pirenaica;Dgdc;0,021329311228952583;D-A;1,79629353428434e-02;0,4191866602386690
Lubia;2;Quercus pirenaica;Dgdc;0,021329311228952583;E-A;2,98262693986647e-01;0,4191866602386690
Lubia;2;Quercus pirenaica;Dgdc;0,021329311228952583;E-D;1,33666629548078e-01;0,4191866602386690
Lubia;2;Quercus pirenaica;Hgdc;0,314449120009384242;D-A;3,27531462623769e-01;0,0374387565449568
Lubia;2;Quercus pirenaica;Hgdc;0,314449120009384242;E-A;9,62098474379255e-01;0,0374387565449568
Lubia;2;Quercus pirenaica;Hgdc;0,314449120009384242;E-D;4,43379796799831e-01;0,0374387565449568
Lubia;2;Quercus pirenaica;ABdc;0,203121506811156843;D-A;1,80972875426417e-01;0,3384151834209657
Lubia;2;Quercus pirenaica;ABdc;0,203121506811156843;E-A;6,09102924051633e-01;0,3384151834209657
Lubia;2;Quercus pirenaica;ABdc;0,203121506811156843;E-D;5,69768889902338e-01;0,3384151834209657
Lubia;2;Quercus pirenaica;Vdc;0,139286653307022334;D-A;1,24332102617455e-01;0,1571080025175468
Lubia;2;Quercus pirenaica;Vdc;0,139286653307022334;E-A;6,38751206829729e-01;0,1571080025175468
Lubia;2;Quercus pirenaica;Vdc;0,139286653307022334;E-D;3,95021124922684e-01;0,1571080025175468
Lubia;2;Quercus pirenaica;WdcT;0,213643264508959735;D-A;1,92938634057814e-01;0,2919144760162040
Lubia;2;Quercus pirenaica;WdcT;0,213643264508959735;E-A;6,97016875739193e-01;0,2919144760162040
Lubia;2;Quercus pirenaica;WdcT;0,213643264508959735;E-D;5,13491337770760e-01;0,2919144760162040
Lubia;2;P. pinaster + Q. pirenaica;Ndc;0,511607432489294744;D-A;5,89936857205672e-01;0,8814848909017263
Lubia;2;P. pinaster + Q. pirenaica;Ndc;0,511607432489294744;E-A;5,51103586242964e-01;0,8814848909017263
Lubia;2;P. pinaster + Q. pirenaica;Ndc;0,511607432489294744;E-D;9,97255879408514e-01;0,8814848909017263
Lubia;2;P. pinaster + Q. pirenaica;ABdc;0,061116649618314679;D-A;4,76353092499447e-01;0,8326034945666144
Lubia;2;P. pinaster + Q. pirenaica;ABdc;0,061116649618314679;E-A;5,29380525343583e-02;0,8326034945666144
Lubia;2;P. pinaster + Q. pirenaica;ABdc;0,061116649618314679;E-D;2,52498834584953e-01;0,8326034945666144
Lubia;2;P. pinaster + Q. pirenaica;Vdc;0,221985165588949290;D-A;9,97307698078463e-01;0,7616251055926555
Lubia;2;P. pinaster + Q. pirenaica;Vdc;0,221985165588949290;E-A;2,64723663372006e-01;0,7616251055926555
Lubia;2;P. pinaster + Q. pirenaica;Vdc;0,221985165588949290;E-D;2,88275299393491e-01;0,7616251055926555
Lubia;2;P. pinaster + Q. pirenaica;WdcT;0,086929560642433026;D-A;7,58838772297399e-01;0,5069044302788276
Lubia;2;P. pinaster + Q. pirenaica;WdcT;0,086929560642433026;E-A;8,36442602057915e-02;0,5069044302788276
Lubia;2;P. pinaster + Q. pirenaica;WdcT;0,086929560642433026;E-D;2,10143236821686e-01;0,5069044302788276
Lubia;3;Pinus pinaster;Ndc;0,005063020195269288;D-A;1,88971220636004e-02;0,3896524261543793
Lubia;3;Pinus pinaster;Ndc;0,005063020195269288;E-A;5,01824049953581e-03;0,3896524261543793
Lubia;3;Pinus pinaster;Ndc;0,005063020195269288;E-D;4,59602172568570e-01;0,3896524261543793
Lubia;3;Pinus pinaster;Dgdc;0,003108139753648848;D-A;9,84646523963073e-03;0,2423195128838095
Lubia;3;Pinus pinaster;Dgdc;0,003108139753648848;E-A;3,35355066235510e-03;0,2423195128838095
Lubia;3;Pinus pinaster;Dgdc;0,003108139753648848;E-D;5,47124214096042e-01;0,2423195128838095
Lubia;3;Pinus pinaster;Hgdc;0,062624236997314911;D-A;9,87447515427849e-02;0,6418196871434428
Lubia;3;Pinus pinaster;Hgdc;0,062624236997314911;E-A;7,98520833869804e-02;0,6418196871434428
Lubia;3;Pinus pinaster;Hgdc;0,062624236997314911;E-D;9,84717477014482e-01;0,6418196871434428
Lubia;3;Pinus pinaster;ABdc;0,049992822959118943;D-A;2,74266697592199e-01;0,9157036321457173
Lubia;3;Pinus pinaster;ABdc;0,049992822959118943;E-A;4,23153817361893e-02;0,9157036321457173
Lubia;3;Pinus pinaster;ABdc;0,049992822959118943;E-D;3,60686602046075e-01;0,9157036321457173
Lubia;3;Pinus pinaster;Vdc;0,067789957857605360;D-A;2,99358702993132e-01;0,9824287262544371
Lubia;3;Pinus pinaster;Vdc;0,067789957857605360;E-A;5,82098668747739e-02;0,9824287262544371
Lubia;3;Pinus pinaster;Vdc;0,067789957857605360;E-D;4,45150884752988e-01;0,9824287262544371
Lubia;3;Pinus pinaster;WdcT;0,037351253458265454;D-A;2,48119146469759e-01;0,8497237625801906
Lubia;3;Pinus pinaster;WdcT;0,037351253458265454;E-A;3,12945781641198e-02;0,8497237625801906
Lubia;3;Pinus pinaster;WdcT;0,037351253458265454;E-D;2,95072038217843e-01;0,8497237625801906
Lubia;3;Quercus pirenaica;Ndc;0,851118126010098730;D-A;9,51026399339537e-01;0,9726796105278637
Lubia;3;Quercus pirenaica;Ndc;0,851118126010098730;E-A;8,37815587256638e-01;0,9726796105278637
Lubia;3;Quercus pirenaica;Ndc;0,851118126010098730;E-D;9,60259985764390e-01;0,9726796105278637
Lubia;3;Quercus pirenaica;Dgdc;0,025332607031412265;D-A;2,19823505829958e-02;0,3308823652463690
Lubia;3;Quercus pirenaica;Dgdc;0,025332607031412265;E-A;3,96872706625017e-01;0,3308823652463690
Lubia;3;Quercus pirenaica;Dgdc;0,025332607031412265;E-D;1,22843712322314e-01;0,3308823652463690
Lubia;3;Quercus pirenaica;Hgdc;0,461431097201491724;D-A;5,21876314967465e-01;0,1306922614004581
Lubia;3;Quercus pirenaica;Hgdc;0,461431097201491724;E-A;9,99997679600285e-01;0,1306922614004581
Lubia;3;Quercus pirenaica;Hgdc;0,461431097201491724;E-D;5,20790142922028e-01;0,1306922614004581
Lubia;3;Quercus pirenaica;ABdc;0,226874385481103197;D-A;2,03316969124336e-01;0,2915219574592824
Lubia;3;Quercus pirenaica;ABdc;0,226874385481103197;E-A;6,36858319117859e-01;0,2915219574592824
Lubia;3;Quercus pirenaica;ABdc;0,226874385481103197;E-D;5,93581578155541e-01;0,2915219574592824
Lubia;3;Quercus pirenaica;Vdc;0,178164792929521032;D-A;1,60302592431835e-01;0,1455841898647420
Lubia;3;Quercus pirenaica;Vdc;0,178164792929521032;E-A;6,78803374549248e-01;0,1455841898647420
Lubia;3;Quercus pirenaica;Vdc;0,178164792929521032;E-D;4,55431955022873e-01;0,1455841898647420
Lubia;3;Quercus pirenaica;WdcT;0,260311209810971167;D-A;2,37152197391044e-01;0,2552044409482510
Lubia;3;Quercus pirenaica;WdcT;0,260311209810971167;E-A;7,32716437285070e-01;0,2552044409482510
Lubia;3;Quercus pirenaica;WdcT;0,260311209810971167;E-D;5,68069832563351e-01;0,2552044409482510
Lubia;3;P. pinaster + Q. pirenaica;Ndc;0,634304556950728293;D-A;7,17067377099767e-01;0,9251579903131871
Lubia;3;P. pinaster + Q. pirenaica;Ndc;0,634304556950728293;E-A;6,55574520793091e-01;0,9251579903131871
Lubia;3;P. pinaster + Q. pirenaica;Ndc;0,634304556950728293;E-D;9,93549775051675e-01;0,9251579903131871
Lubia;3;P. pinaster + Q. pirenaica;ABdc;0,091632914011660696;D-A;6,09519814214609e-01;0,8275324989400936
Lubia;3;P. pinaster + Q. pirenaica;ABdc;0,091632914011660696;E-A;8,18894729051789e-02;0,8275324989400936
Lubia;3;P. pinaster + Q. pirenaica;ABdc;0,091632914011660696;E-D;2,85488957875897e-01;0,8275324989400936
Lubia;3;P. pinaster + Q. pirenaica;Vdc;0,231397011268741154;D-A;9,99929407070927e-01;0,8307178643403730
Lubia;3;P. pinaster + Q. pirenaica;Vdc;0,231397011268741154;E-A;2,84257726609040e-01;0,8307178643403730
Lubia;3;P. pinaster + Q. pirenaica;Vdc;0,231397011268741154;E-D;2,88184075132092e-01;0,8307178643403730
Lubia;3;P. pinaster + Q. pirenaica;WdcT;0,112955113043315916;D-A;8,57094753823955e-01;0,5528222496142826
Lubia;3;P. pinaster + Q. pirenaica;WdcT;0,112955113043315916;E-A;1,14307286377415e-01;0,5528222496142826
Lubia;3;P. pinaster + Q. pirenaica;WdcT;0,112955113043315916;E-D;2,25638906847079e-01;0,5528222496142826
Sanpablo;1;Pinus pinaster;Nac;0,828157538306819707;D-A;9,73933355575341e-01;0,6101866235006992
