Sitio;Especie;PARCELA;INVENTARIO;TRATAMIENTO;Nac;Ndc;Ne;Superficie;Dgac;Dgdc;Dge;Doac;Dodc;Hgac;Hgdc;Hge;Hoac;Hodc;ABac;ABdc;ABe;ABT;Vac;Vdc;Ve;VT;Vmac;Vmdc;Vme;Wac;Wdc;We;Wac_b7_b27;Wdc_b7_b27;We_b7_b27;Wac_b2_n;Wdc_b2_n;We_b2_n;WacT;WdcT;WeT;Nn;Wac_s_7;Wdc_s_7;We_s_7;Wac_b2_7;Wdc_b2_7;We_b2_7
Lubia;Quercus pirenaica;4;1;E;2632;2566;66;0,076;5,027;5,070;2,938;10,414;10,414;5,240;5,321;3,139;6,700;6,700;5,224;5,179;5,224;5,224;44,756;44,514;0,242;44,756;0,017;0,017;0,004;NA;NA;NA;NA;NA;NA;445,667;439,810;5,857;1614,637;1596,821;17,816;0;694,597;690,726;3,870;474,373;466,285;8,089
Lubia;Quercus pirenaica;4;2;E;2566;2500;224;0,076;5,181;5,251;4,316;10,775;10,775;5,391;5,391;3,015;6,900;6,900;5,741;5,414;5,741;10,965;50,268;47,007;3,261;50,510;0,020;0,019;0,015;NA;NA;NA;NA;NA;NA;498,333;468,425;29,907;1730,716;1624,954;105,762;158;766,522;719,579;46,943;465,861;436,949;28,912
Lubia;Quercus pirenaica;4;3;E;2500;2368;145;0,076;5,557;5,628;4,229;11,329;11,329;5,956;5,956;3,498;7,550;7,550;6,096;5,892;6,096;17,061;56,505;54,941;1,564;60,008;0,023;0,023;0,011;NA;NA;NA;NA;NA;NA;490,033;468,904;21,130;1876,350;1809,921;66,428;13;893,523;868,826;24,697;492,793;472,191;20,602
Lubia;Quercus pirenaica;5;1;D;2728;2716;12;0,081;6,356;6,366;3,400;10,957;10,957;5,884;5,884;3,656;7,143;7,143;8,656;8,645;8,656;8,656;83,857;83,793;0,064;83,857;0,031;0,031;0,005;NA;NA;NA;NA;NA;NA;675,503;674,076;1,426;2706,504;2702,088;4,416;0;1382,323;1381,220;1,103;648,679;646,792;1,886
Lubia;Quercus pirenaica;5;2;D;2716;2716;160;0,081;6,439;6,566;3,687;11,371;11,371;6,413;6,413;3,424;7,914;7,914;9,367;9,196;9,367;18,023;95,326;94,089;1,237;95,391;0,035;0,035;0,008;NA;NA;NA;NA;NA;NA;694,920;675,126;19,794;3050,130;2985,579;64,551;160;1625,790;1604,653;21,136;729,420;705,800;23,620
Lubia;Quercus pirenaica;5;3;D;2716;2654;86;0,081;6,950;7,024;4,099;12,229;12,229;7,084;7,084;4,092;8,750;8,750;10,398;10,284;10,398;28,421;113,532;112,671;0,861;114,834;0,042;0,042;0,010;NA;NA;NA;NA;NA;NA;694,042;682,633;11,409;3540,653;3498,188;42,465;25;2014,012;1998,459;15,553;832,599;817,096;15,503
Lubia;Quercus pirenaica;6;1;A;2628;2628;0;0,078;4,878;4,878;0,000;8,812;8,812;5,016;5,016;0,000;6,457;6,457;4,912;4,912;4,912;4,912;39,170;39,170;0,000;39,170;0,015;0,015;0,000;NA;NA;NA;NA;NA;NA;460,199;460,199;0,000;1562,797;1562,797;0,000;0;629,649;629,649;0,000;472,949;472,949;0,000
Lubia;Quercus pirenaica;6;2;A;2628;2679;192;0,078;4,844;4,897;4,033;9,371;9,371;5,323;5,323;3,657;7,229;7,229;5,293;5,047;5,293;10,205;43,367;41,631;1,736;43,367;0,017;0,016;0,009;NA;NA;NA;NA;NA;NA;494,429;467,385;27,044;1712,640;1628,533;84,108;244;709,369;681,177;28,192;508,842;479,971;28,872
Lubia;Quercus pirenaica;6;3;A;2679;2487;205;0,078;5,128;5,240;3,499;9,743;9,743;6,057;6,057;2,576;8,400;8,400;5,561;5,363;5,561;15,766;48,715;47,359;1,357;50,451;0,018;0,019;0,007;NA;NA;NA;NA;NA;NA;479,256;452,071;27,184;1853,867;1782,803;71,065;13;835,352;813,067;22,285;539,259;517,664;21,595
Lubia;Quercus pirenaica;7;1;A;2157;2157;0;0,083;4,765;4,765;0,000;9,157;9,157;5,045;5,045;0,000;5,957;5,957;3,846;3,846;3,846;3,846;30,851;30,851;0,000;30,851;0,014;0,014;0,000;NA;NA;NA;NA;NA;NA;376,678;376,678;0,000;1292,256;1292,256;0,000;0;515,319;515,319;0,000;400,259;400,259;0,000
Lubia;Quercus pirenaica;7;2;A;2157;1940;301;0,083;4,874;4,930;4,502;9,512;9,512;5,356;5,377;4,089;6,214;6,214;4,182;3,702;4,182;8,028;34,923;31,020;3,904;34,923;0,016;0,016;0,013;NA;NA;NA;NA;NA;NA;379,811;335,416;44,395;1423,647;1261,276;162,371;84;595,318;532,012;63,306;448,518;393,848;54,670
Lubia;Quercus pirenaica;7;3;A;1940;1663;277;0,083;5,219;5,301;4,692;9,671;9,671;5,787;5,872;4,238;6,814;6,814;4,149;3,670;4,149;12,177;36,285;32,383;3,902;40,189;0,019;0,019;0,014;NA;NA;NA;NA;NA;NA;363,466;317,586;45,881;1418,942;1251,807;167,135;0;634,976;566,851;68,125;420,500;367,371;53,129
Lubia;Quercus pirenaica;8;1;E;2840;2802;37;0,081;5,298;5,313;3,216;11,343;11,343;5,473;5,473;2,902;8,000;8,000;6,233;6,213;6,233;6,233;55,706;55,597;0,109;55,706;0,020;0,020;0,003;NA;NA;NA;NA;NA;NA;566,225;563,150;3,074;2047,153;2039,417;7,736;0;930,152;928,420;1,731;550,777;547,846;2,930
Lubia;Quercus pirenaica;8;2;E;2802;2852;148;0,081;5,374;5,460;3,293;11,743;11,743;5,717;5,717;2,514;8,700;8,700;6,804;6,678;6,804;13,037;62,292;61,588;0,704;62,401;0,022;0,022;0,005;NA;NA;NA;NA;NA;NA;629,191;608,492;20,699;2233,465;2186,988;46,477;198;1045,397;1034,626;10,772;558,876;543,870;15,007
Lubia;Quercus pirenaica;8;3;E;2852;2642;210;0,081;5,701;5,839;3,513;12,214;12,214;6,047;6,047;2,642;9,600;9,600;7,279;7,075;7,279;20,315;69,905;68,656;1,249;70,718;0,025;0,026;0,006;NA;NA;NA;NA;NA;NA;613,970;583,398;30,572;2448,161;2374,497;73,664;0;1211,741;1191,449;20,292;622,451;599,651;22,800
Lubia;Quercus pirenaica;9;1;D;2173;2123;49;0,081;5,381;5,416;3,570;9,471;9,471;4,742;4,742;3,528;5,925;5,925;4,941;4,891;4,941;4,941;41,202;40,893;0,310;41,202;0,019;0,019;0,006;NA;NA;NA;NA;NA;NA;456,811;450,788;6,022;1533,957;1515,416;18,540;0;658,360;653,154;5,206;418,786;411,474;7,312
Lubia;Quercus pirenaica;9;2;D;2123;1864;333;0,081;5,520;5,610;4,987;9,713;9,713;4,930;4,894;4,210;6,286;6,286;5,259;4,608;5,259;10,200;45,276;40,051;5,225;45,586;0,021;0,021;0,016;NA;NA;NA;NA;NA;NA;476,422;412,958;63,464;1637,123;1427,449;209,674;74;729,279;644,097;85,182;431,422;370,394;61,028
Lubia;Quercus pirenaica;9;3;D;1864;1667;222;0,081;5,872;5,929;5,422;10,300;10,300;5,065;5,065;4,351;6,040;6,040;5,114;4,601;5,114;15,315;45,372;41,136;4,236;50,907;0,024;0,025;0,019;NA;NA;NA;NA;NA;NA;446,120;398,084;48,036;1553,013;1394,132;158,881;25;722,748;654,241;68,507;384,145;341,807;42,338
Lubia;P. pinaster + Q. pirenaica;1;1;D;3253;2734;519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53,107;41,083;18,674;53,107;303,716;245,830;57,887;303,716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12669,844;10094,848;2574,996;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;1;2;D;2734;2810;114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45,730;45,502;6,890;64,404;265,040;263,125;1,915;322,927;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11185,834;11111,285;74,549;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;1;3;D;2810;2734;114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51,294;51,245;7,367;76,858;308,567;308,356;0,211;368,369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12923,893;12902,973;20,920;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;2;1;E;3141;2376;765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,799;27,007;20,942;43,799;213,881;140,314;73,566;213,881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10291,663;6660,263;3631,400;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;2;2;E;2376;2188;224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,702;30,492;4,581;51,645;167,561;166,362;1,199;241,127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7850,925;7772,722;78,203;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;2;3;E;2188;2141;106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34,344;34,126;4,826;59,869;191,268;189,526;1,742;266,033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8909,692;8839,240;70,452;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;3;1;A;3037;3037;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38,851;38,851;3,898;38,851;198,840;198,840;0,000;198,840;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8801,797;8801,797;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;3;2;A;3037;2950;287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42,724;40,439;6,263;46,621;223,500;212,145;11,354;223,500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9930,259;9419,297;510,963;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;3;3;A;2975;2762;250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,998;44,266;4,996;55,157;249,206;244,562;4,644;260,560;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10871,944;10680,119;191,827;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;4;1;E;4053;3290;763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49,332;32,717;21,794;49,332;244,904;172,396;72,508;244,904;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10559,257;7323,234;3236,023;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;4;2;E;3290;3224;224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37,095;36,768;5,741;58,889;215,928;212,667;3,261;288,436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8831,654;8725,892;105,762;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;4;3;E;3224;3092;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41,702;41,498;6,096;69,237;252,263;250,699;1,564;328,032;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10230,938;10164,509;66,428;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;5;1;D;4037;3432;605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,967;35,551;17,061;43,967;243,773;207,115;36,658;243,773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10301,690;8633,252;1668,438;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;5;2;D;3432;3432;160;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,866;39,695;9,367;56,927;248,223;246,986;1,237;284,882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10210,408;10145,857;64,551;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;5;3;D;3432;3370;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,723;44,609;10,398;71,152;294,199;293,338;0,861;332,094;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11926,704;11884,239;42,465;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;6;1;A;4243;4243;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,805;48,805;4,912;48,805;226,134;226,134;0,000;226,134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10297,090;10297,090;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;6;2;A;4243;4179;307;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53,557;52,191;6,414;58,469;274,180;267,199;6,981;274,180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12069,646;11762,871;306,776;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;6;3;A;4179;3987;205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58,004;57,806;5,561;69,330;317,037;315,681;1,357;324,018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13700,032;13628,968;71,065;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;7;1;A;3434;3434;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40,672;40,672;3,846;40,672;196,299;196,299;0,000;196,299;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9398,086;9398,086;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;7;2;A;3434;3133;385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,185;43,104;4,783;48,031;226,864;220,025;6,840;226,864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10642,924;10358,496;284,428;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;7;3;A;3133;2856;277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47,519;47,040;4,149;56,148;262,475;258,573;3,902;269,315;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12024,512;11857,377;167,135;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;8;1;E;3803;3234;568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40,312;27,292;19,232;40,312;211,169;156,824;54,346;211,169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9571,276;6926,791;2644,484;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;8;2;E;3234;3284;148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29,984;29,858;6,804;49,216;181,011;180,307;0,704;235,357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7854,177;7807,700;46,477;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;8;3;E;3284;3074;210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,815;33,611;7,279;59,850;213,977;212,728;1,249;269,026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9186,847;9113,183;73,664;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;9;1;D;3358;2814;543;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41,480;31,662;14,709;41,480;203,639;161,135;42,506;203,639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9351,512;7359,613;1991,898;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;9;2;D;2814;2555;333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35,377;34,726;5,259;50,086;188,874;183,649;5,225;231,379;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8520,207;8310,533;209,674;NA;NA;NA;NA;NA;NA;NA
Lubia;P. pinaster + Q. pirenaica;9;3;D;2555;2358;222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,016;38,503;5,114;58,986;220,246;216,010;4,236;267,976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9749,003;9590,122;158,881;NA;NA;NA;NA;NA;NA;NA
